Yar greater in real life than what is recorded

mpry0,mpry1,mpry2,pitch,roll,yaw,vgx,vgy,vgz,templ,emph,tof,h,bat,baro,time,agx,agy,agz,Padding,Line #,Padding,x,y,z,z_Relative,Navigation Direction
,0,0,  0,  0,  -2,  0,  0,  0,  77,  80,  10,  0,  62,  1881.7,  228,  22.0,  148.0,  -1004.0,         , 0,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  4,  0,  0,  0,  77,  80,  10,  0,  62,  1881.69,  228,  -108.0,  -3.0,  -997.0,         , 1,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  3,  0,  0,  0,  77,  80,  10,  0,  62,  1881.72,  228,  0.0,  -13.0,  -1002.0,         , 2,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  2,  0,  0,  0,  77,  80,  10,  0,  62,  1881.66,  228,  6.0,  -3.0,  -1011.0,         , 3,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  2,  0,  0,  0,  77,  80,  10,  0,  62,  1881.72,  228,  25.0,  38.0,  -992.0,         , 4,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -6,  0,  0,  0,  77,  80,  10,  0,  62,  1881.7,  228,  28.0,  -57.0,  -1050.0,         , 5,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -8,  0,  0,  0,  77,  80,  10,  0,  62,  1881.7,  228,  -91.0,  -65.0,  -994.0,         , 6,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  77,  80,  10,  0,  62,  1881.63,  228,  36.0,  -18.0,  -1000.0,         , 7,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -1,  0,  0,  0,  78,  80,  10,  0,  62,  1881.74,  228,  -48.0,  42.0,  -1002.0,         , 8,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  1,  -4,  0,  0,  0,  78,  80,  10,  0,  62,  1881.75,  228,  7.0,  53.0,  -1022.0,         , 9,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
