mpry0,mpry1,mpry2,pitch,roll,yaw,vgx,vgy,vgz,templ,emph,tof,h,bat,baro,time,agx,agy,agz,Padding,Line #,Padding,x,y,z,z_Relative,Navigation Direction
,0,0,  0,  0,  -5,  0,  0,  0,  83,  85,  10,  0,  39,  1881.94,  343,  0.0,  -14.0,  -998.0,         , 0,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  85,  10,  0,  39,  1881.95,  343,  0.0,  -15.0,  -1001.0,         , 1,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  85,  10,  0,  39,  1881.94,  343,  1.0,  -14.0,  -1000.0,         , 2,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  85,  10,  0,  39,  1881.97,  343,  -1.0,  -16.0,  -996.0,         , 3,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  85,  10,  0,  39,  1881.92,  343,  1.0,  -14.0,  -1001.0,         , 4,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  86,  10,  0,  39,  1881.89,  343,  1.0,  -15.0,  -996.0,         , 5,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  86,  10,  0,  39,  1881.91,  343,  0.0,  -14.0,  -1000.0,         , 6,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  86,  10,  0,  39,  1881.99,  343,  0.0,  -15.0,  -999.0,         , 7,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  86,  10,  0,  39,  1881.97,  343,  0.0,  -14.0,  -999.0,         , 8,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  86,  10,  0,  39,  1881.98,  343,  1.0,  -15.0,  -999.0,         , 9,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  86,  10,  0,  39,  1882.01,  343,  0.0,  -14.0,  -1002.0,         , 10,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  85,  10,  0,  39,  1882.01,  343,  0.0,  -15.0,  -999.0,         , 11,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  85,  10,  0,  39,  1881.93,  343,  0.0,  -16.0,  -999.0,         , 12,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  85,  10,  0,  39,  1882.01,  343,  0.0,  -14.0,  -1000.0,         , 13,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  85,  10,  0,  39,  1881.91,  343,  1.0,  -14.0,  -998.0,         , 14,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  86,  10,  0,  39,  1881.93,  343,  0.0,  -14.0,  -999.0,         , 15,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  86,  10,  0,  39,  1881.96,  343,  0.0,  -14.0,  -999.0,         , 16,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  86,  10,  0,  39,  1881.98,  343,  0.0,  -14.0,  -998.0,         , 17,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  86,  10,  0,  39,  1881.99,  343,  1.0,  -15.0,  -997.0,         , 18,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  86,  10,  0,  39,  1881.92,  343,  0.0,  -15.0,  -999.0,         , 19,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  86,  10,  0,  39,  1881.99,  343,  -1.0,  -16.0,  -1000.0,         , 20,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  86,  10,  0,  39,  1881.93,  343,  0.0,  -16.0,  -1002.0,         , 21,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  86,  10,  0,  39,  1881.95,  343,  2.0,  -16.0,  -1000.0,         , 22,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  86,  10,  0,  39,  1881.97,  343,  1.0,  -15.0,  -999.0,         , 23,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  86,  10,  0,  39,  1881.97,  343,  1.0,  -14.0,  -1000.0,         , 24,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  86,  10,  0,  39,  1881.93,  343,  0.0,  -14.0,  -1000.0,         , 25,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  86,  10,  0,  39,  1881.96,  343,  1.0,  -15.0,  -1001.0,         , 26,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  83,  86,  10,  0,  39,  1881.97,  343,  1.0,  -15.0,  -1003.0,         , 27,        , 0, 0, 0, 10, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -4,  0,  0,  0,  82,  84,  76,  40,  39,  1882.8,  351,  0.0,  -9.0,  -1005.0,         , 28,        , 0, 0, 40, 76, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -4,  0,  0,  0,  82,  84,  76,  40,  39,  1882.73,  352,  1.0,  -2.0,  -1002.0,         , 29,        , 0, 0, 40, 76, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -4,  0,  0,  0,  82,  84,  76,  40,  39,  1882.79,  352,  -7.0,  -14.0,  -992.0,         , 30,        , 0, 0, 40, 76, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  82,  84,  76,  40,  39,  1882.77,  352,  -1.0,  0.0,  -1008.0,         , 31,        , 0, 0, 40, 76, [0 0 0 0 0 0 0 0]
,0,0,  0,  0,  -5,  0,  0,  0,  82,  84,  76,  40,  39,  1882.81,  352,  -2.0,  -11.0,  -1009.0,         , 32,        , 0, 0, 40, 76, [0 0 0 0 0 0 0 0]
